	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	like?
61	0.87	https://api.spotify.com/v1/audio-analysis/1gd9v0W8nmfTOZ47VtsYkH	0.597	203867	0.293	1gd9v0W8nmfTOZ47VtsYkH	0.00013	2	0.147	-11.475	1	0.0344	90.025	4	https://api.spotify.com/v1/tracks/1gd9v0W8nmfTOZ47VtsYkH	audio_features	spotify:track:1gd9v0W8nmfTOZ47VtsYkH	0.304	yes
62	0.66	https://api.spotify.com/v1/audio-analysis/4Vq7y5Zck7cua1qNlEp3tz	0.542	175320	0.192	4Vq7y5Zck7cua1qNlEp3tz	0.000192	7	0.11	-13.469	1	0.058	114.965	3	https://api.spotify.com/v1/tracks/4Vq7y5Zck7cua1qNlEp3tz	audio_features	spotify:track:4Vq7y5Zck7cua1qNlEp3tz	0.0527	yes
63	0.923	https://api.spotify.com/v1/audio-analysis/0alXWwTcr1reJRYkhjauN1	0.674	258200	0.366	0alXWwTcr1reJRYkhjauN1	0.000195	10	0.123	-8.958	1	0.0591	74.818	4	https://api.spotify.com/v1/tracks/0alXWwTcr1reJRYkhjauN1	audio_features	spotify:track:0alXWwTcr1reJRYkhjauN1	0.492	yes
64	0.00847	https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N	0.56	218013	0.936	0GO8y8jQk1PkHzS31d699N	0.0	3	0.161	-5.835	1	0.0439	112.96	4	https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N	audio_features	spotify:track:0GO8y8jQk1PkHzS31d699N	0.371	yes
65	0.0437	https://api.spotify.com/v1/audio-analysis/0Xxu4vfq99d6KbpFQ2Q5WU	0.328	215733	0.792	0Xxu4vfq99d6KbpFQ2Q5WU	0.0	3	0.374	-5.806	1	0.0548	115.127	4	https://api.spotify.com/v1/tracks/0Xxu4vfq99d6KbpFQ2Q5WU	audio_features	spotify:track:0Xxu4vfq99d6KbpFQ2Q5WU	0.645	yes
66	0.0182	https://api.spotify.com/v1/audio-analysis/602yOjjco8BtdznV8wRb41	0.523	243021	0.732	602yOjjco8BtdznV8wRb41	0.0	11	0.066	-5.418	0	0.0378	104.993	4	https://api.spotify.com/v1/tracks/602yOjjco8BtdznV8wRb41	audio_features	spotify:track:602yOjjco8BtdznV8wRb41	0.323	yes
67	0.303	https://api.spotify.com/v1/audio-analysis/0VKBPX8zHyOGGToUrdH0yP	0.597	240000	0.507	0VKBPX8zHyOGGToUrdH0yP	9.23e-06	5	0.744	-10.818	1	0.031	109.373	4	https://api.spotify.com/v1/tracks/0VKBPX8zHyOGGToUrdH0yP	audio_features	spotify:track:0VKBPX8zHyOGGToUrdH0yP	0.289	yes
68	0.777	https://api.spotify.com/v1/audio-analysis/1IbFHfVWUDNkhSY9PWt9th	0.512	285000	0.373	1IbFHfVWUDNkhSY9PWt9th	0.501	8	0.11	-11.765	0	0.0289	120.059	3	https://api.spotify.com/v1/tracks/1IbFHfVWUDNkhSY9PWt9th	audio_features	spotify:track:1IbFHfVWUDNkhSY9PWt9th	0.204	yes
69	0.0718	https://api.spotify.com/v1/audio-analysis/4B3dL0tGTyuCFrNC5cBVfh	0.418	257480	0.383	4B3dL0tGTyuCFrNC5cBVfh	0.0177	4	0.0896	-11.782	1	0.0257	87.773	4	https://api.spotify.com/v1/tracks/4B3dL0tGTyuCFrNC5cBVfh	audio_features	spotify:track:4B3dL0tGTyuCFrNC5cBVfh	0.352	yes
70	0.0626	https://api.spotify.com/v1/audio-analysis/4toSP60xmDNCFuXly8ywNZ	0.36	264067	0.505	4toSP60xmDNCFuXly8ywNZ	9.22e-05	7	0.172	-9.129	1	0.026	74.807	4	https://api.spotify.com/v1/tracks/4toSP60xmDNCFuXly8ywNZ	audio_features	spotify:track:4toSP60xmDNCFuXly8ywNZ	0.317	yes
